4034,2,7,13,20,27,30,14
4035,2,8,26,27,30,32,16
4036,2,13,17,18,26,30,1
4037,3,4,11,17,20,26,5
4038,11,16,17,25,28,29,7
4039,10,16,18,25,26,29,3
4040,7,17,19,20,21,29,11
4041,8,10,17,22,25,29,14
4042,6,10,13,17,18,21,2
4043,4,9,10,21,22,24,10
4044,2,6,7,12,31,32,5
4045,1,12,18,26,27,28,13
4046,7,15,16,22,23,32,14
4047,1,7,8,11,27,31,6
4048,8,9,11,16,17,29,9
4049,11,12,14,16,25,29,9
4050,6,7,19,21,25,29,2
4051,2,3,9,10,15,29,11
4052,1,12,14,15,17,29,9
4053,2,3,4,9,24,25,2
4054,9,11,14,16,27,28,11
4055,6,8,19,25,29,32,7
4056,1,20,21,25,29,30,2
4057,5,21,23,25,28,32,4
4058,1,8,11,12,27,31,12
4059,4,7,11,19,23,26,10
4060,3,5,11,24,27,28,15
4061,13,16,19,20,23,33,9
4062,1,12,25,27,28,29,13
4063,7,10,13,16,27,28,7
4064,14,15,18,20,27,31,4
4065,13,14,27,29,32,33,8
4066,5,13,20,23,24,25,3
4067,1,6,7,13,16,32,4
4068,2,8,11,13,24,31,15
4069,2,11,15,20,22,29,5
4070,10,12,21,22,30,33,6
4071,3,8,16,17,21,29,6
4072,8,15,18,28,30,33,14
4073,2,7,13,16,23,28,16
4074,5,6,15,19,26,29,13
4075,7,18,21,26,27,28,7
4076,3,5,13,17,25,31,7
4077,8,9,10,14,16,26,7
4078,4,5,10,21,24,26,5
4079,7,13,14,17,19,30,3
4080,3,8,20,23,24,26,16
4081,3,5,21,24,27,32,6
4082,3,20,24,27,29,30,15
4083,14,16,27,28,30,33,6
4084,1,4,8,11,21,25,14
4085,3,8,11,29,30,32,1
4086,10,13,18,19,25,27,1
4087,1,3,7,8,25,26,14
4088,2,10,19,22,24,32,14
4089,14,17,20,25,28,30,14
4090,1,18,20,24,32,33,12
4091,9,13,14,21,30,33,1
4092,1,4,8,13,28,31,2
4093,11,14,20,27,32,33,5
4094,5,9,10,13,24,25,8
4095,19,22,27,28,30,32,1
4096,1,4,12,16,20,30,15
4097,10,19,20,26,29,31,14
4098,3,12,13,25,26,31,3
4099,5,10,21,22,26,33,2
4100,6,8,9,14,24,33,15
4101,2,9,14,19,25,26,15
4102,3,9,12,15,28,32,1
4103,2,3,5,9,16,21,2
4104,7,11,17,18,24,29,5
4105,7,9,10,21,23,30,12
4106,10,15,23,26,28,29,12
4107,1,8,12,13,18,20,7
4108,8,13,14,27,28,31,12
4109,6,8,10,17,30,31,14
